Year,Biofuel,Biochar,Construction,Exterior,Household,Graphic Paper,Other Paper,Household Paper
1961,285763275,12447848,179817095,74300620,194099473,173635256.1,264196012.1,59754273.15
1962,282588127,12004344,188776252,99492208,170293682,169884777.9,270564088.1,56458287.6
1963,293701143,17763045,189602353,71383467,163003331,179487717,297712001.8,55771351.35
1964,317514750,13488027,201606208,89926368,201289465,162347422.4,268595375.6,84998362.02
1965,326586600,12462545,190270120,93319026,189989838,175700310.5,273959031.1,51498692.96
1966,255960434,13084697,201930729,91623122,170589992,171935383.6,278014942.9,45787691.95
1967,365141962,18666057,263979446,103106821,214368003,187590137,321634430.2,55132761.97
1968,381017700,20574956,233307017,122175329,255778170,183746460,332243600.2,47523533.2
1969,388955568,19883409,257074182,116624578,229249413,194270118.9,349050360.2,53122107.61
1970,358771256,24669112,246565393,81127693,227717621,195671170,362449095.6,65388902.15
1971,404831306,21277933,289510048,133892896,218620473,203286157.4,359028745.8,56975464.26
1972,416738110,17703035,302059612,112688979,223625815,211037020.5,354178795,63462609.21
1973,412769175,17237241,287456784,96221024,275924690,222946806.9,376587873.1,50860418.18
1974,420707044,22718180,282003345,133731463,274402352,233526750.6,378445833.5,65996340.41
1975,433616059,16702891,281799820,112835660,255040419,217790615.9,361549638.5,55569053.54
1976,436582782,18546037,293202438,134213317,267305661,240620365.7,396164244.2,58436373.71
1977,444520650,19363320,307731730,114321038,272811265,246196359,390568578.4,84410047.15
1978,452458519,16451392,300503005,157416782,315567596,251251961,413342588.3,65703882.53
1979,467540469,25752129,322224307,124494538,265588515,230993986.1,384223065,84065246.98
1980,413903156,36655264,300366058,127418244,327236615,264816203.1,429135089.3,81715014.81
1981,484209994,25275762,350596397,129303486,318404288,277438961.8,434489230.9,96112783.91
1982,476272125,30519518,345823732,127139556,313488960,250474753.1,421988938.8,78943404.54
1983,444520650,34405898,331747291,113784297,310604221,249992394.1,430386196.3,89741361.71
1984,436582782,27504715,278054144,119103313,260174568,252852946.1,423479460.7,76848912.14
1985,408233250,17929604,289320652,117524285,231350555,238427866.8,409629832,73052147.74
1986,530136234,33207734,279697343,139527411,298463742,256050257.3,410286877,77651689.83
1987,539775074,32062639,289698532,109775612,296685340,251449092.2,384673025.9,72789229.37
1988,549413915,57952180,300968283,129673201,325942342,275456701.5,436247493.1,80578496.57
1989,559052757,56755036,295237491,95646792,298671096,258273152.3,404266938.8,76557716.95
1990,572191190,60560716,297644177,120371689,311079795,305711251.6,464188286,58860823.45
1991,616393448,25074885,357030201,144612724,322064912,282102457.8,440903234.2,75576446.66
1992,617076842,32655706,419330560,142538071,307089063,342486881.9,500355053.8,93584122.06
1993,603315951,42787167,316326685,126421080,316675145,298285367.4,468115585.1,101032141.2
1994,589132204,58112001,375003717,150433811,290466235,318520882.7,474698916.1,93489167.2
1995,630027858,32660644,415248248,139633477,307903187,280342799.9,435893347.9,92405619.02
1996,643751659,57474148,366215641,171402643,341461270,297743171.4,453657351.3,95775080.83
1997,673934338,28871347,416384846,195571478,343697251,273663075.4,428322963.6,94679270.4
1998,667007772,61231313,347724442,153023083,364807680,314882159,463342193.6,92672182.46
1999,591517239,58134314,337281086,137377046,334308763,285355619.1,438427176.3,90455655.29
2000,602454335,42942945,284623055,137231671,368198232,238664537.5,384942803.9,92792338.21
2001,612265981,22923238,406642656,129170111,273049672,307184878,442282083.1,94479559.46
2002,645623232,46484873,433829093,138743981,289182383,248268254.5,383759717.8,97834468.16
2003,578042525,25803818,328739638,115886886,328046636,321987760.4,457821125.2,101150851.2
2004,630148151,50815147,341733613,116357801,363493332,278717676.4,420675287.9,113359111.6
2005,537659066,57873622,385656522,186245530,414605109,235946107.5,365295736.5,100262408
2006,677019249,31197047,482822851,210221321,392884334,261369033.6,391135928,89468294.63
2007,798924717,85996257,318638753,154881098,376917814,229992391.2,365105177.6,97379756.76
2008,711938150,44595806,329892641,102532077,281157517,262388409.1,399205871.3,87629080.11
2009,833079099,58482153,261404250,82938463,277096424,223884071.8,350654385.5,96802335.63
2010,832985885,59675109,275525044,95292589,258156781,218275280.1,335464758.2,107042076.6
2011,611089341,50378205,287079142,91744127,247542475,217869540.5,330971877,104560873.6
2012,616879903,29092056,311203987,108802449,236779681,178412419.9,284590823.7,112135311.9
2013,669889444,71142259,286886468,83963402,289017279,179200827.5,281509044.9,108277855.4
2014,741312346,52573872,259689322,102290622,305827265,159934326,262122559.3,107812093
2015,762649111,60401810,274615410,109886452,290643067,128878441.1,225705867.5,104001234.5
2016,544363390,35470718,237703468,110280521,293459996,144207878.1,232864068.6,103843266.7
2017,590494201,48680342,235827242,106136752,275081125,155835594.2,242534419.3,112326327
2018,559263677,57581788,302876239,103760343,276085911,132422458.7,210349362,105527908.2
2019,440459863,22357743,330737954,103505804,254613046,127626516.2,212268393.5,104546792.4
